pH,Fat,Lactose,Protein,Gravity,SNF,Temperature,Gas,EC,Class
5.99,5.06,8.43,5.45,68.56,21.29,29,98.32,3.05,Maltodextrin
5.91,5.95,8.20,5.67,67.60,21.30,28.48,102.2,3.18,Maltodextrin
5.97,5.90,8.49,5.26,67.29,20.98,28.23,104.43,3.16,Maltodextrin
5.91,5.05,8.79,5.41,67.05,20.07,28.14,108.15,3.48,Maltodextrin
5.85,5.37,8.27,5.98,68.35,20.34,28.61,98.53,3.49,Maltodextrin
6.00,5.87,8.49,5.77,68.12,21.96,28.59,102.82,3.38,Maltodextrin
5.81,5.58,8.74,5.36,68.59,21.38,28.26,96.22,3.36,Maltodextrin
5.81,5.34,8.96,5.48,67.40,21.50,28.2,107.28,3.32,Maltodextrin
5.75,5.82,8.18,5.32,67.22,20.27,28.58,96.38,3.27,Maltodextrin
5.80,5.63,8.08,5.22,68.08,21.67,29.38,100.26,3.04,Maltodextrin
5.81,5.62,8.58,5.31,67.38,20.41,28.71,102.7,3.16,Maltodextrin
5.95,5.57,8.01,5.92,67.25,21.79,28.84,101.91,3.42,Maltodextrin
5.93,5.37,8.64,5.99,67.47,20.99,28.18,98.16,3.08,Maltodextrin
5.82,5.06,8.29,5.33,67.80,21.07,28.52,100.22,3.50,Maltodextrin
5.79,5.77,8.41,5.17,68.04,21.58,29.15,102.74,3.46,Maltodextrin
5.75,5.78,8.57,5.03,68.90,20.69,28.75,97.41,3.32,Maltodextrin
5.89,5.54,8.03,5.78,67.48,21.43,28.23,103.24,3.00,Maltodextrin
5.91,5.55,8.75,5.71,68.09,21.24,28.52,106.17,3.00,Maltodextrin
5.99,5.26,8.02,5.70,67.72,20.55,28.97,99.27,3.24,Maltodextrin
5.77,5.18,8.27,5.87,67.96,20.17,28.44,102.78,3.47,Maltodextrin
5.90,5.96,8.41,5.85,67.81,21.75,28.96,97.29,3.07,Maltodextrin
5.96,5.50,8.16,5.16,68.73,21.37,29.22,96.38,3.32,Maltodextrin
5.97,5.69,8.51,5.63,68.48,21.10,28.48,102.66,3.13,Maltodextrin
5.90,5.03,8.14,5.14,68.11,20.02,28.09,96.13,3.09,Maltodextrin
5.90,5.10,8.24,5.30,67.97,21.66,28.19,99.11,3.13,Maltodextrin
5.89,5.70,8.23,5.40,68.62,20.49,28.88,104.27,3.00,Maltodextrin
5.94,5.99,8.57,5.66,68.63,20.50,29.13,96.71,3.50,Maltodextrin
5.88,5.72,8.02,5.35,67.59,20.13,28.39,108.03,3.49,Maltodextrin
5.75,5.74,8.41,5.20,68.05,20.25,28.45,99.73,3.07,Maltodextrin
5.87,5.70,8.49,5.65,68.82,21.22,28.18,107.74,3.37,Maltodextrin
5.80,5.55,8.76,5.10,67.81,21.04,28.12,98.61,3.43,Maltodextrin
6.00,5.82,8.82,5.10,68.90,21.07,28.57,97.66,3.40,Maltodextrin
5.90,5.61,8.48,5.77,67.35,20.75,29.27,100.8,3.23,Maltodextrin
5.98,5.21,8.46,5.72,68.37,21.24,29.23,99.64,3.15,Maltodextrin
5.95,5.65,8.42,5.53,68.42,20.90,28.49,96.92,3.46,Maltodextrin
5.76,5.60,8.90,5.29,67.42,20.74,28.67,101.67,3.30,Maltodextrin
5.73,5.08,8.67,5.65,67.83,20.57,28.33,98.9,3.25,Maltodextrin
5.75,5.97,8.21,5.57,68.58,20.43,28.14,99.44,3.34,Maltodextrin
5.88,5.14,8.75,5.82,68.72,20.13,28.42,104.85,3.20,Maltodextrin
5.80,5.20,8.24,5.86,68.99,21.89,28.66,104.64,3.21,Maltodextrin
5.78,5.70,8.10,5.43,67.12,20.54,29.27,101.09,3.41,Maltodextrin
5.78,5.44,8.27,5.76,68.20,20.89,29.21,103.15,3.29,Maltodextrin
5.83,5.69,8.14,5.61,68.64,21.89,28.87,99.89,3.19,Maltodextrin
5.76,5.16,8.88,5.96,67.76,20.63,29.35,97.17,3.44,Maltodextrin
5.84,5.47,8.01,5.82,67.39,20.87,28.41,102.45,3.02,Maltodextrin
6.00,5.61,8.97,5.79,68.13,21.14,28.66,104.06,3.14,Maltodextrin
5.89,5.94,8.78,5.77,67.85,20.96,28.82,104.02,3.41,Maltodextrin
5.83,5.80,8.69,5.49,68.90,21.33,28.65,107.7,3.17,Maltodextrin
6.00,5.69,8.65,5.70,67.52,21.01,28.44,102.37,3.38,Maltodextrin
5.77,5.43,8.21,5.68,68.00,20.15,28.35,107.24,3.38,Maltodextrin
5.92,5.43,8.35,5.36,68.63,20.52,28.75,97.21,3.16,Maltodextrin
5.82,5.21,8.92,5.62,67.12,20.13,28.36,97.87,3.36,Maltodextrin
5.86,5.84,8.29,5.60,68.77,21.52,28.53,106.33,3.05,Maltodextrin
5.88,5.38,8.25,5.82,67.20,20.80,28.11,107.7,3.29,Maltodextrin
5.87,5.33,8.87,5.12,68.77,21.77,28.65,98.9,3.34,Maltodextrin
5.70,5.04,8.90,5.59,68.56,21.67,28.83,101.29,3.45,Maltodextrin
5.74,5.98,8.94,5.83,68.16,21.79,28.48,96.79,3.34,Maltodextrin
5.92,5.51,8.32,5.83,67.21,20.34,29.36,108.07,3.14,Maltodextrin
5.72,5.11,8.62,5.44,68.76,21.85,28.93,103.77,3.41,Maltodextrin
5.73,5.39,8.45,5.68,67.56,20.52,28.59,102.86,3.31,Maltodextrin
5.95,5.70,8.28,5.42,68.33,21.84,28.78,104.14,3.06,Maltodextrin
5.88,5.38,8.60,5.80,67.81,21.60,28.41,106.37,3.31,Maltodextrin
5.81,5.99,8.84,5.94,67.58,20.83,28.2,98.65,3.16,Maltodextrin
5.81,5.69,8.49,5.19,68.01,21.02,28.49,101.29,3.22,Maltodextrin
5.86,5.71,8.81,5.89,67.42,21.88,28.5,103.44,3.34,Maltodextrin
5.73,5.47,8.25,5.09,68.95,21.59,28.96,97.45,3.16,Maltodextrin
5.74,5.27,8.31,5.84,68.01,21.59,28.48,97.33,3.26,Maltodextrin
5.74,5.52,8.39,5.90,68.53,21.55,28.71,105.14,3.21,Maltodextrin
5.71,5.78,8.60,5.02,68.59,21.19,29,99.19,3.08,Maltodextrin
5.96,5.82,8.70,5.73,67.00,20.97,28.63,101.54,3.13,Maltodextrin
5.80,5.14,8.60,5.24,68.19,21.00,28.74,98.16,3.08,Maltodextrin
5.75,5.86,8.99,5.47,68.45,21.32,28.71,101.38,3.06,Maltodextrin
5.78,5.41,8.56,5.63,68.38,21.45,28.57,97.08,3.10,Maltodextrin
5.89,5.27,8.20,5.45,68.00,21.97,28.53,97.62,3.01,Maltodextrin
5.93,5.22,8.46,5.18,67.61,20.25,28.57,101.63,3.41,Maltodextrin
5.97,5.59,8.79,5.13,68.04,21.03,28.89,105.01,3.15,Maltodextrin
5.97,5.56,8.83,5.90,67.73,20.83,28.62,96.79,3.35,Maltodextrin
5.96,5.25,8.51,5.88,68.70,21.85,29.23,105.96,3.07,Maltodextrin
5.85,5.14,8.22,5.30,68.74,21.59,28.72,97.37,3.11,Maltodextrin
5.91,5.68,8.84,5.14,67.38,20.42,29.31,107.86,3.00,Maltodextrin
5.80,5.26,8.22,5.84,67.90,20.10,28.66,107.2,3.19,Maltodextrin
5.82,6.00,8.07,5.99,68.55,21.11,28.8,103.77,3.04,Maltodextrin
5.93,5.11,8.49,5.56,67.40,20.43,28.46,105.26,3.08,Maltodextrin
5.84,5.70,8.05,5.66,68.05,21.50,29.23,104.14,3.14,Maltodextrin
5.72,5.82,8.78,5.71,67.43,21.53,28.83,105.84,3.30,Maltodextrin
6.00,5.18,8.45,5.32,67.96,21.18,29.14,104.76,3.23,Maltodextrin
5.84,5.59,8.33,5.57,68.92,21.16,28.88,99.89,3.11,Maltodextrin
5.80,5.45,8.61,5.73,68.44,21.63,28.85,107.32,3.26,Maltodextrin
5.92,5.86,8.28,5.46,67.37,20.20,28.46,101.34,3.06,Maltodextrin
5.94,5.77,8.23,5.59,68.00,21.05,28.54,98.36,3.01,Maltodextrin
5.75,5.74,8.05,5.08,67.05,21.60,28.31,107.08,3.00,Maltodextrin
5.94,5.20,8.32,5.78,67.16,20.13,28.37,102.57,3.22,Maltodextrin
5.92,5.27,8.33,5.20,67.99,21.55,29.34,101.67,3.44,Maltodextrin
5.93,5.70,8.93,5.91,68.29,20.61,28.88,105.05,3.33,Maltodextrin
5.98,5.99,8.30,5.77,67.48,21.59,29.14,101.83,3.38,Maltodextrin
5.73,5.06,8.82,5.10,67.17,21.54,28.46,96.63,3.11,Maltodextrin
5.75,5.86,8.24,5.96,68.74,21.11,28.23,106.21,3.04,Maltodextrin
5.93,5.05,8.65,5.44,67.37,20.42,28.96,98.45,3.10,Maltodextrin
5.70,5.88,8.82,5.93,68.12,20.16,28.49,107.03,3.16,Maltodextrin
5.76,5.91,8.00,5.47,68.51,21.13,28.71,102.62,3.37,Maltodextrin
5.73,5.22,8.16,5.42,68.29,20.76,28.91,97.87,3.09,Maltodextrin
5.98,5.72,8.35,5.74,67.87,20.87,29.23,103.86,3.07,Maltodextrin
5.85,5.19,8.48,5.60,68.32,21.83,28.44,107.12,3.28,Maltodextrin
5.84,5.52,8.11,5.26,67.65,20.07,28.98,100.76,3.08,Maltodextrin
5.80,5.48,8.19,5.41,67.54,20.67,28.07,101.29,3.25,Maltodextrin
5.89,5.73,8.71,5.03,67.29,21.59,29.3,98.73,3.31,Maltodextrin
5.86,5.09,8.38,5.59,67.88,21.91,28.16,98.78,3.04,Maltodextrin
5.86,5.22,8.21,5.34,68.66,21.08,28.67,96.79,3.03,Maltodextrin
5.81,5.79,8.53,5.22,67.15,20.29,29.23,101.63,3.19,Maltodextrin
5.79,5.50,8.31,5.45,68.60,21.91,28.82,108.07,3.24,Maltodextrin
5.87,5.07,8.39,5.57,67.23,21.50,28.93,103.24,3.02,Maltodextrin
5.74,5.62,8.70,5.43,68.71,20.67,29.36,107.78,3.44,Maltodextrin
5.83,5.74,8.69,5.06,68.31,20.84,28.79,106.13,3.23,Maltodextrin
5.78,5.19,8.22,5.13,67.84,20.88,28.44,102.53,3.34,Maltodextrin
5.91,5.89,8.86,5.88,68.55,21.39,29.32,107.9,3.18,Maltodextrin
5.95,5.18,8.13,5.44,67.40,21.32,29.06,106.04,3.18,Maltodextrin
5.82,5.12,8.93,5.77,67.20,21.25,28.37,98.24,3.40,Maltodextrin
5.93,5.06,8.45,5.75,68.07,20.89,28.61,98.28,3.11,Maltodextrin
5.71,5.82,8.07,5.34,68.44,20.72,28.19,103.65,3.50,Maltodextrin
5.97,5.59,8.49,5.57,68.97,21.51,28.87,103.65,3.19,Maltodextrin
5.96,5.14,8.17,5.44,68.99,21.58,28.23,102.66,3.47,Maltodextrin
5.80,5.90,8.99,5.52,67.68,21.79,28.84,105.96,3.45,Maltodextrin
5.96,5.74,8.66,5.16,67.84,21.22,29.23,103.77,3.22,Maltodextrin
5.93,5.29,8.07,5.19,67.67,21.36,29.34,102.53,3.14,Maltodextrin
5.78,5.18,8.04,5.85,68.73,20.85,28.84,101.96,3.15,Maltodextrin
5.98,5.25,8.28,5.94,68.08,20.52,28.26,105.8,3.22,Maltodextrin
5.77,5.60,8.04,5.50,68.33,20.55,29.27,107.94,3.47,Maltodextrin
5.95,5.06,8.23,5.43,68.45,20.43,29.14,104.56,3.19,Maltodextrin
5.75,5.50,8.33,5.17,67.00,20.04,28.22,107.08,3.23,Maltodextrin
6.00,5.91,8.66,5.62,68.59,21.98,28.54,98.94,3.37,Maltodextrin
5.80,5.95,8.19,5.04,68.19,21.13,28.15,98.82,3.02,Maltodextrin
5.70,5.74,8.48,5.51,68.10,20.76,28.5,106.37,3.42,Maltodextrin
6.47,3.06,2.99,1.86,74.58,24.23,25.85,125.62,20.51,Sodium Bicarbonate
6.77,3.00,3.33,1.88,74.09,23.91,25.79,128.84,19.43,Sodium Bicarbonate
6.61,3.39,2.94,1.96,75.15,23.36,27.21,120.58,20.83,Sodium Bicarbonate
6.63,2.56,2.74,1.86,75.90,23.87,27.41,119.84,20.99,Sodium Bicarbonate
6.65,3.20,3.19,1.65,75.76,24.93,27.94,127.35,19.26,Sodium Bicarbonate
6.76,3.42,3.44,1.46,75.89,24.51,26.77,118.85,19.60,Sodium Bicarbonate
6.62,3.25,2.90,1.88,74.91,23.80,26.71,128.1,19.55,Sodium Bicarbonate
6.50,3.37,2.78,1.07,75.95,24.12,26.61,117.9,19.33,Sodium Bicarbonate
6.70,3.08,2.65,1.88,75.46,23.32,27.34,121.57,19.58,Sodium Bicarbonate
6.61,2.80,3.50,1.53,75.78,23.70,27.33,123.26,20.21,Sodium Bicarbonate
6.52,3.26,2.73,1.34,75.73,23.76,26.52,121.16,20.67,Sodium Bicarbonate
6.74,3.33,2.71,1.40,75.75,24.16,25.81,119.71,20.20,Sodium Bicarbonate
6.56,3.11,3.04,1.79,75.22,24.17,27.33,128.18,19.34,Sodium Bicarbonate
6.50,2.76,2.97,1.19,74.14,23.11,25.7,120.04,19.26,Sodium Bicarbonate
6.78,2.86,2.55,1.52,74.02,24.09,25.68,121.28,19.87,Sodium Bicarbonate
6.59,3.28,2.56,1.40,75.13,24.62,27.94,126.69,19.76,Sodium Bicarbonate
6.68,2.60,3.08,1.43,75.62,24.19,26.18,124.05,19.80,Sodium Bicarbonate
6.46,3.46,2.51,1.50,74.03,23.01,25.86,123.18,20.49,Sodium Bicarbonate
6.79,3.25,2.80,1.09,75.52,24.21,27.15,127.93,20.22,Sodium Bicarbonate
6.62,2.78,3.31,1.21,75.36,23.30,26.33,121.32,19.87,Sodium Bicarbonate
6.53,3.08,2.55,1.31,74.06,24.84,27.14,118.27,20.02,Sodium Bicarbonate
6.61,2.68,3.32,1.46,74.75,23.60,27.79,126.57,20.07,Sodium Bicarbonate
6.55,2.59,3.28,1.87,74.32,24.25,25.68,124.92,20.33,Sodium Bicarbonate
6.49,2.55,3.23,1.01,74.02,23.84,26.84,120.33,19.53,Sodium Bicarbonate
6.72,3.15,2.76,1.25,75.99,23.06,27.75,128.63,20.98,Sodium Bicarbonate
6.65,3.45,3.49,1.97,75.48,24.32,25.73,119.09,19.11,Sodium Bicarbonate
6.47,2.69,2.52,1.01,75.67,23.78,25.98,124.92,19.29,Sodium Bicarbonate
6.61,3.21,3.18,1.86,74.86,24.85,27.58,122.23,19.98,Sodium Bicarbonate
6.41,2.69,2.84,1.68,74.03,24.75,27.8,119.71,20.48,Sodium Bicarbonate
6.68,3.11,3.44,1.74,75.90,24.37,27.47,117.19,19.99,Sodium Bicarbonate
6.44,3.16,2.94,1.87,74.42,23.85,26.17,123.3,20.22,Sodium Bicarbonate
6.55,2.55,2.93,1.43,75.32,24.03,26.16,120.33,19.90,Sodium Bicarbonate
6.41,3.47,3.05,1.34,74.29,23.32,27.02,121.94,19.58,Sodium Bicarbonate
6.75,2.62,3.23,1.59,75.45,24.95,25.65,117.19,20.92,Sodium Bicarbonate
6.77,2.59,2.52,1.15,75.82,24.26,28.06,125.53,19.72,Sodium Bicarbonate
6.44,2.84,2.53,1.04,74.37,23.72,26.74,128.26,19.02,Sodium Bicarbonate
6.76,3.23,2.60,1.82,75.30,23.75,26.65,119.3,19.97,Sodium Bicarbonate
6.69,3.21,3.19,1.73,75.34,24.78,25.57,126.81,19.56,Sodium Bicarbonate
6.63,2.52,3.46,1.38,75.37,23.83,26.99,127.89,20.76,Sodium Bicarbonate
6.74,2.69,2.61,1.64,74.95,23.04,27.15,117.11,19.67,Sodium Bicarbonate
6.61,3.24,2.59,1.80,74.65,24.85,27.73,122.69,20.96,Sodium Bicarbonate
6.59,3.18,3.34,1.78,75.78,24.77,27.04,124.21,20.81,Sodium Bicarbonate
6.56,3.47,3.12,1.82,75.24,23.83,26.43,120.21,20.07,Sodium Bicarbonate
6.54,2.86,2.71,1.09,75.63,23.41,25.7,121.86,20.37,Sodium Bicarbonate
6.76,2.56,3.40,1.55,75.09,23.37,27.04,128.14,20.81,Sodium Bicarbonate
6.40,3.38,3.16,1.17,74.13,24.25,26.44,128.43,20.76,Sodium Bicarbonate
6.59,3.25,2.94,1.50,74.59,24.59,26.38,117.61,19.08,Sodium Bicarbonate
6.40,3.20,2.63,1.36,75.01,23.73,27.43,126.32,20.41,Sodium Bicarbonate
6.48,2.65,2.73,1.54,75.96,23.41,27.68,122.48,19.57,Sodium Bicarbonate
6.50,2.68,2.94,1.19,74.11,23.47,26.68,123.76,20.53,Sodium Bicarbonate
6.58,3.23,2.80,1.46,74.50,23.06,26.18,124.25,19.19,Sodium Bicarbonate
6.51,2.66,3.00,1.51,74.87,23.45,27.4,128.01,19.90,Sodium Bicarbonate
6.55,2.97,3.15,1.41,74.36,23.82,27.07,118.6,19.33,Sodium Bicarbonate
6.64,3.00,3.48,1.27,75.11,24.78,27.41,117.23,19.19,Sodium Bicarbonate
6.56,2.95,3.29,1.19,74.45,23.05,26.3,128.59,20.08,Sodium Bicarbonate
6.73,3.22,3.00,1.75,75.65,23.48,25.65,125.25,19.66,Sodium Bicarbonate
6.56,2.52,2.63,1.46,74.22,23.36,25.94,119.84,19.70,Sodium Bicarbonate
6.40,3.03,2.85,1.71,74.92,24.50,27.62,127.64,19.77,Sodium Bicarbonate
6.78,3.44,2.55,1.90,74.50,23.01,27.6,124.21,20.19,Sodium Bicarbonate
6.64,2.98,2.79,1.49,74.04,23.58,27.41,122.97,20.12,Sodium Bicarbonate
6.78,3.05,3.17,1.02,74.10,24.06,25.9,119.67,19.93,Sodium Bicarbonate
6.53,3.39,2.95,1.24,74.23,23.02,26.28,126.15,20.17,Sodium Bicarbonate
6.58,3.44,3.36,1.25,75.63,23.45,27.73,117.44,20.95,Sodium Bicarbonate
6.46,3.06,3.04,1.34,75.28,23.99,25.48,127.02,19.81,Sodium Bicarbonate
6.62,3.33,3.27,1.77,75.54,23.05,27.56,126.9,21.00,Sodium Bicarbonate
6.59,3.06,2.81,1.67,75.74,24.51,27.14,117.44,20.01,Sodium Bicarbonate
6.50,3.37,3.29,1.10,75.11,23.56,28.03,117.19,20.07,Sodium Bicarbonate
6.71,2.74,3.29,1.83,74.32,23.03,27.94,126.11,19.51,Sodium Bicarbonate
6.43,3.04,3.47,1.91,74.12,23.84,26.03,121.07,20.34,Sodium Bicarbonate
6.60,2.86,3.12,1.91,75.79,23.55,25.65,125.99,19.16,Sodium Bicarbonate
6.54,2.80,3.06,1.05,75.21,24.29,27.68,128.26,19.11,Sodium Bicarbonate
6.71,3.43,3.35,1.56,74.13,24.48,26.86,121.24,20.52,Sodium Bicarbonate
6.60,2.81,3.04,1.04,75.15,23.15,27.54,127.72,20.97,Sodium Bicarbonate
6.53,2.76,2.96,1.76,74.24,24.68,27.76,128.55,19.20,Sodium Bicarbonate
6.50,3.07,2.96,1.70,75.64,23.64,27.07,125.33,20.62,Sodium Bicarbonate
6.45,2.54,2.67,1.88,74.54,24.95,27.34,118.23,20.97,Sodium Bicarbonate
6.75,2.62,3.24,1.87,74.17,23.00,25.85,125.25,20.60,Sodium Bicarbonate
6.63,3.23,2.53,1.14,74.43,23.70,27.58,125.08,19.49,Sodium Bicarbonate
6.77,2.80,2.51,1.81,75.26,24.68,27.34,119.38,20.66,Sodium Bicarbonate
6.59,3.04,3.24,1.37,74.46,24.66,25.87,121.36,19.07,Sodium Bicarbonate
6.56,2.69,3.22,1.89,75.57,23.46,27.15,122.23,20.26,Sodium Bicarbonate
6.42,2.82,3.20,1.89,75.63,23.82,27.23,121.41,20.17,Sodium Bicarbonate
6.69,2.68,3.37,1.04,75.30,24.82,26.17,125.66,20.73,Sodium Bicarbonate
6.77,3.31,3.19,1.26,74.14,24.55,26.91,118.72,19.34,Sodium Bicarbonate
6.57,2.76,3.15,1.50,74.83,24.84,27.99,119.22,20.99,Sodium Bicarbonate
6.46,2.97,3.24,1.82,75.95,23.01,27.54,124.34,20.29,Sodium Bicarbonate
6.45,2.53,2.71,1.54,74.61,23.49,26.69,127.56,20.20,Sodium Bicarbonate
6.60,2.56,3.31,1.05,74.56,24.22,25.88,128.67,20.60,Sodium Bicarbonate
6.50,2.81,2.68,1.86,74.05,23.08,26.93,119.59,20.22,Sodium Bicarbonate
6.41,3.48,3.10,1.35,75.85,23.19,27.2,128.71,20.31,Sodium Bicarbonate
6.44,3.27,2.75,1.25,74.25,24.91,26.2,120.54,19.78,Sodium Bicarbonate
6.60,2.73,2.75,1.03,75.73,23.94,27.16,119.88,20.99,Sodium Bicarbonate
6.80,3.27,3.34,1.85,75.02,23.35,26.5,117.15,19.27,Sodium Bicarbonate
6.56,2.78,2.87,1.65,74.48,23.59,28.06,119.18,19.91,Sodium Bicarbonate
6.70,2.97,2.82,1.60,74.10,23.98,27.19,126.53,20.75,Sodium Bicarbonate
6.46,3.47,2.74,1.61,75.07,23.87,26.01,123.47,20.14,Sodium Bicarbonate
6.52,3.10,3.35,1.87,74.41,23.17,27.14,125.82,20.32,Sodium Bicarbonate
6.63,3.00,3.12,1.10,74.18,23.30,26.71,117.48,19.34,Sodium Bicarbonate
6.68,2.66,3.47,1.13,75.87,24.81,27.2,126.81,20.28,Sodium Bicarbonate
6.66,2.70,2.69,1.55,75.05,23.74,25.83,118.35,19.44,Sodium Bicarbonate
6.67,3.07,3.43,1.77,75.61,24.21,27.67,120.87,19.51,Sodium Bicarbonate
6.58,3.02,3.01,1.05,75.06,23.49,27.88,128.01,19.55,Sodium Bicarbonate
6.53,2.76,2.67,1.37,74.60,23.91,26.65,120.46,19.56,Sodium Bicarbonate
6.64,3.26,3.12,1.49,74.21,23.62,27.07,119.71,20.61,Sodium Bicarbonate
6.74,2.64,3.50,1.72,74.89,24.87,27.59,128.47,19.24,Sodium Bicarbonate
6.62,3.47,2.54,1.76,75.87,24.52,26.15,126.73,19.44,Sodium Bicarbonate
6.57,2.53,2.97,1.30,74.26,23.71,27.07,119.92,20.95,Sodium Bicarbonate
6.72,2.53,3.25,1.41,74.08,23.71,26.93,118.8,19.99,Sodium Bicarbonate
6.78,3.42,3.28,1.94,74.88,23.64,27.17,123.3,20.28,Sodium Bicarbonate
6.70,3.00,3.11,1.17,74.72,23.90,26.48,117.03,19.95,Sodium Bicarbonate
6.47,3.41,2.54,1.30,74.24,23.31,26.33,123.3,20.81,Sodium Bicarbonate
6.45,2.68,2.55,1.33,75.47,24.64,25.91,122.52,20.67,Sodium Bicarbonate
6.46,2.59,3.46,1.91,74.87,24.65,25.81,127.52,19.19,Sodium Bicarbonate
6.57,2.66,2.72,1.32,74.37,23.16,26.5,120.74,20.62,Sodium Bicarbonate
6.80,3.47,3.39,2.00,75.02,24.19,27.21,118.47,19.78,Sodium Bicarbonate
6.58,2.51,2.97,1.34,75.35,23.00,27.21,125.53,20.39,Sodium Bicarbonate
6.49,2.61,3.12,1.73,75.44,23.35,27.56,128.18,19.98,Sodium Bicarbonate
6.58,3.17,2.65,1.31,74.70,24.07,27.55,120.66,20.93,Sodium Bicarbonate
6.45,2.69,2.95,1.99,74.06,23.19,25.88,118.14,19.48,Sodium Bicarbonate
6.70,2.71,2.51,1.41,75.54,24.87,26.64,124.05,20.23,Sodium Bicarbonate
6.67,2.72,3.36,1.83,75.53,23.82,26.38,117.61,19.13,Sodium Bicarbonate
6.77,2.75,3.25,1.65,74.16,24.01,26.03,120.33,20.14,Sodium Bicarbonate
6.70,2.76,2.52,1.36,74.06,23.20,27.6,117.03,19.08,Sodium Bicarbonate
6.80,3.20,2.76,1.04,75.28,24.87,25.62,128.59,20.14,Sodium Bicarbonate
6.41,2.74,3.03,1.66,74.93,23.91,25.72,122.97,20.62,Sodium Bicarbonate
6.59,2.53,3.18,1.09,75.95,24.96,25.79,128.55,20.76,Sodium Bicarbonate
6.73,2.78,2.52,1.43,75.98,24.27,27.24,120.13,19.33,Sodium Bicarbonate
6.61,2.99,2.95,1.34,75.78,24.69,25.48,124.09,20.42,Sodium Bicarbonate
6.47,2.74,2.66,1.38,74.28,23.10,25.52,121.28,20.44,Sodium Bicarbonate
6.68,2.85,3.19,1.42,74.13,23.85,27.8,125.91,20.49,Sodium Bicarbonate
6.48,2.64,2.70,1.22,75.40,23.69,25.49,128.76,20.48,Sodium Bicarbonate
6.69,2.76,3.22,1.68,74.88,24.33,27.9,124.17,20.91,Sodium Bicarbonate
6.72,2.53,3.09,1.06,74.89,24.46,26.54,120.33,20.26,Sodium Bicarbonate
6.46,2.66,2.75,1.86,75.73,23.63,27.8,117.65,19.77,Sodium Bicarbonate
6.54,3.10,3.20,1.09,75.79,24.38,26.73,121.69,19.80,Sodium Bicarbonate
6.58,2.98,2.78,1.91,75.30,24.63,25.49,123.35,20.71,Sodium Bicarbonate
6.76,3.35,2.68,1.61,75.03,24.08,27.4,123.1,19.40,Sodium Bicarbonate
6.70,2.85,2.61,1.28,75.93,24.10,25.94,128.14,20.33,Sodium Bicarbonate
6.78,2.61,3.26,1.53,75.48,24.04,26.59,119.09,20.20,Sodium Bicarbonate
6.55,2.98,2.60,1.84,75.05,24.21,25.9,122.73,20.40,Sodium Bicarbonate
6.47,2.61,2.90,1.27,75.22,23.82,25.94,123.26,20.64,Sodium Bicarbonate
6.69,3.19,2.55,1.15,75.48,24.10,26.43,120.04,19.25,Sodium Bicarbonate
6.68,3.48,3.42,1.96,75.20,23.03,26.71,119.75,20.47,Sodium Bicarbonate
6.69,3.21,2.61,1.42,75.37,24.69,26.48,117.61,19.78,Sodium Bicarbonate
6.58,3.25,3.02,1.47,74.22,24.82,26.6,118.47,20.11,Sodium Bicarbonate
6.61,2.85,2.70,1.99,74.63,23.39,25.6,124.75,19.02,Sodium Bicarbonate
6.61,2.80,2.63,1.61,75.20,24.55,28.05,122.85,19.33,Sodium Bicarbonate
6.59,2.58,2.64,1.25,74.49,24.04,27.72,122.48,19.27,Sodium Bicarbonate
6.44,3.34,2.70,1.16,75.93,23.78,27.79,117.36,20.36,Sodium Bicarbonate
6.79,2.91,3.12,1.79,74.54,23.74,26.42,125.87,20.72,Sodium Bicarbonate
6.65,2.81,3.49,1.20,74.61,23.70,26.17,122.07,19.06,Sodium Bicarbonate
6.61,2.50,3.21,1.52,74.00,23.07,27.24,123.97,20.46,Sodium Bicarbonate
6.45,3.15,2.60,1.90,75.40,24.12,27.06,123.72,20.72,Sodium Bicarbonate
6.51,3.31,2.78,1.13,75.39,24.35,26.18,123.26,20.79,Sodium Bicarbonate
6.65,3.13,2.59,1.20,75.83,24.57,26.13,124.71,19.27,Sodium Bicarbonate
6.43,3.13,3.44,1.56,75.60,23.99,25.98,123.02,20.75,Sodium Bicarbonate
6.73,2.56,2.90,1.71,75.89,23.72,26.68,126.65,20.06,Sodium Bicarbonate
6.58,2.51,2.75,1.69,75.02,24.77,26.98,121.78,19.77,Sodium Bicarbonate
6.55,3.27,2.66,1.43,75.82,24.89,25.94,118.43,20.19,Sodium Bicarbonate
6.43,3.30,3.45,1.46,75.79,23.71,28.01,123.8,19.76,Sodium Bicarbonate
6.47,3.15,2.94,1.99,74.58,24.82,25.47,128.55,19.11,Sodium Bicarbonate
6.80,2.88,3.23,1.78,74.97,23.32,25.73,122.19,20.89,Sodium Bicarbonate
6.65,2.94,3.16,1.13,74.07,23.27,27.07,128.34,19.32,Sodium Bicarbonate
6.67,2.92,2.69,1.80,74.74,23.03,25.69,122.11,20.41,Sodium Bicarbonate
6.70,3.26,3.18,1.37,74.71,23.54,27,118.1,20.95,Sodium Bicarbonate
6.72,3.27,2.97,1.52,74.54,24.99,27.41,119.63,19.85,Sodium Bicarbonate
6.41,3.23,2.68,1.98,74.38,23.01,27.75,121.24,19.24,Sodium Bicarbonate
6.73,3.19,2.67,1.26,75.50,23.26,26.03,125.78,20.54,Sodium Bicarbonate
6.78,3.45,3.07,1.84,75.84,23.54,26.38,121.57,20.84,Sodium Bicarbonate
